	region1	region2	chrom1	start1	end1	chrom2	start2	end2	contact_pair	dist_from_diag	pixel_size	gene1	gene2
885	('chr3', 128480000, 128490000)	('chr3', 137760000, 137770000)	chr3	128480000	128490000	chr3	137760000	137770000	(('chr3', 128480000, 128490000), ('chr3', 137760000, 137770000))	9280000.0	100000000	GATA2,GATA2-AS1	SOX14
886	('chr3', 128480000, 128490000)	('chr3', 147360000, 147420000)	chr3	128480000	128490000	chr3	147360000	147420000	(('chr3', 128480000, 128490000), ('chr3', 147360000, 147420000))	18905000.0	600000000	GATA2,GATA2-AS1	ZIC1,ZIC4,ZIC4-AS1
887	('chr7', 23450000, 23480000)	('chr7', 156990000, 157040000)	chr7	23450000	23480000	chr7	156990000	157040000	(('chr7', 23450000, 23480000), ('chr7', 156990000, 157040000))	133550000.0	1500000000	IGF2BP3	MNX1,MNX1-AS1
888	('chr5', 3560000, 3610000)	('chr5', 77960000, 77970000)	chr5	3560000	3610000	chr5	77960000	77970000	(('chr5', 3560000, 3610000), ('chr5', 77960000, 77970000))	74380000.0	500000000	IRX1	AC108482.1
889	('chr6', 1360000, 1410000)	('chr6', 105975000, 106000000)	chr6	1360000	1410000	chr6	105975000	106000000	(('chr6', 1360000, 1410000), ('chr6', 105975000, 106000000))	104602500.0	1250000000	FOXF2	-
890	('chr5', 73430000, 73460000)	('chr5', 123080000, 123110000)	chr5	73430000	73460000	chr5	123080000	123110000	(('chr5', 73430000, 73460000), ('chr5', 123080000, 123110000))	49650000.0	900000000	FOXD1,FOXD1-AS1,LINC01385	PRDM6,AC106786.1
891	('chr2', 118830000, 118840000)	('chr2', 170810000, 170820000)	chr2	118830000	118840000	chr2	170810000	170820000	(('chr2', 118830000, 118840000), ('chr2', 170810000, 170820000))	51980000.0	100000000	EN1,LINC01956	GAD1,AC007405.2
892	('chr2', 156315000, 156345000)	('chr2', 170810000, 170820000)	chr2	156315000	156345000	chr2	170810000	170820000	(('chr2', 156315000, 156345000), ('chr2', 170810000, 170820000))	14485000.0	300000000	NR4A2,AC074099.1	GAD1,AC007405.2
893	('chr11', 22320000, 22350000)	('chr11', 31790000, 31830000)	chr11	22320000	22350000	chr11	31790000	31830000	(('chr11', 22320000, 22350000), ('chr11', 31790000, 31830000))	9475000.0	1200000000	SLC17A6	PAX6,PAUPAR
894	('chr4', 111620000, 111630000)	('chr4', 173490000, 173550000)	chr4	111620000	111630000	chr4	173490000	173550000	(('chr4', 111620000, 111630000), ('chr4', 173490000, 173550000))	61895000.0	600000000	AC083795.2	HAND2,HAND2-AS1,SCRG1
895	('chr3', 62350000, 62380000)	('chr3', 169640000, 169670000)	chr3	62350000	62380000	chr3	169640000	169670000	(('chr3', 62350000, 62380000), ('chr3', 169640000, 169670000))	107290000.0	900000000	FEZF2	MECOM
896	('chr6', 100430000, 100480000)	('chr6', 125360000, 125380000)	chr6	100430000	100480000	chr6	125360000	125380000	(('chr6', 100430000, 100480000), ('chr6', 125360000, 125380000))	24915000.0	1000000000	SIM1	-
897	('chr2', 161410000, 161430000)	('chr2', 206250000, 206285000)	chr2	161410000	161430000	chr2	206250000	206285000	(('chr2', 161410000, 161430000), ('chr2', 206250000, 206285000))	44847500.0	700000000	TBR1	ZDBF2,HMGN1P6
898	('chr2', 5690000, 5700000)	('chr2', 176060000, 176170000)	chr2	5690000	5700000	chr2	176060000	176170000	(('chr2', 5690000, 5700000), ('chr2', 176060000, 176170000))	170420000.0	1100000000	SOX11	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS
899	('chr17', 48980000, 49000000)	('chr17', 79740000, 79860000)	chr17	48980000	49000000	chr17	79740000	79860000	(('chr17', 48980000, 49000000), ('chr17', 79740000, 79860000))	30810000.0	2400000000	IGF2BP1,RF00017,AC091133.3,AC091133.2	CBX2,CBX8,CBX4,AC100791.2,LINC01977
900	('chr2', 174320000, 174350000)	('chr2', 236260000, 236270000)	chr2	174320000	174350000	chr2	236260000	236270000	(('chr2', 174320000, 174350000), ('chr2', 236260000, 236270000))	61930000.0	300000000	SP9,LINC01305,AC018470.1	ASB18
901	('chr1', 47180000, 47250000)	('chr1', 165350000, 165360000)	chr1	47180000	47250000	chr1	165350000	165360000	(('chr1', 47180000, 47250000), ('chr1', 165350000, 165360000))	118140000.0	700000000	TAL1,AL135960.1	LMX1A
902	('chr3', 27710000, 27720000)	('chr3', 137760000, 137770000)	chr3	27710000	27720000	chr3	137760000	137770000	(('chr3', 27710000, 27720000), ('chr3', 137760000, 137770000))	110050000.0	100000000	EOMES,LINC02084	SOX14
903	('chr5', 52780000, 52790000)	('chr5', 77620000, 77660000)	chr5	52780000	52790000	chr5	77620000	77660000	(('chr5', 52780000, 52790000), ('chr5', 77620000, 77660000))	24855000.0	400000000	PELO	OTP,WDR41
904	('chr6', 108100000, 108180000)	('chr6', 125730000, 125740000)	chr6	108100000	108180000	chr6	125730000	125740000	(('chr6', 108100000, 108180000), ('chr6', 125730000, 125740000))	17595000.0	800000000	OSTM1,ASTM1-AS1,NR2E1	HEY2, AL365259.1
905	('chr2', 72910000, 72920000)	('chr2', 181680000, 181690000)	chr2	72910000	72920000	chr2	181680000	181690000	(('chr2', 72910000, 72920000), ('chr2', 181680000, 181690000))	108770000.0	100000000	EMX1	CERKL,NEUROD1
906	('chr2', 118830000, 118840000)	('chr2', 176060000, 176170000)	chr2	118830000	118840000	chr2	176060000	176170000	(('chr2', 118830000, 118840000), ('chr2', 176060000, 176170000))	57280000.0	1100000000	EN1,LINC01956	HOXD1,HOXD2,HOXD3,HOXD4,HOXD8,HOXD9,HOXD10,HOXD11,HOXD12,HOXD13,EVX2,HALGR,HALGROS
907	('chr1', 47430000, 47440000)	('chr1', 180230000, 180240000)	chr1	47430000	47440000	chr1	180230000	180240000	(('chr1', 47430000, 47440000), ('chr1', 180230000, 180240000))	132800000.0	100000000	FOXD2,FOXD2-AS1	LHX4
908	('chr2', 181680000, 181690000)	('chr2', 222250000, 222318000)	chr2	181680000	181690000	chr2	222250000	222318000	(('chr2', 181680000, 181690000), ('chr2', 222250000, 222318000))	40599000.0	680000000	CERKL,NEUROD1	PAX3,CCDC140
909	('chr7', 35230000, 35260000)	('chr7', 122290000, 122320000)	chr7	35230000	35260000	chr7	122290000	122320000	(('chr7', 35230000, 35260000), ('chr7', 122290000, 122320000))	87060000.0	900000000	TBX20,AC009531.1	FEZF1,FEZF1-AS1
910	('chr2', 63050000, 63060000)	('chr2', 161410000, 161430000)	chr2	63050000	63060000	chr2	161410000	161430000	(('chr2', 63050000, 63060000), ('chr2', 161410000, 161430000))	98365000.0	200000000	OTX1	TBR1
912	('chr13', 20120000, 20200000)	('chr13', 27780000, 27820000)	chr13	20120000	20200000	chr13	27780000	27820000	(('chr13', 20120000, 20200000), ('chr13', 27780000, 27820000))	7640000.0	3200000000	GJA3,GJB2,GJB6,PPIAP28,LINC00556,AL138688.1	GSX1
913	('chr2', 63050000, 63060000)	('chr2', 72910000, 72920000)	chr2	63050000	63060000	chr2	72910000	72920000	(('chr2', 63050000, 63060000), ('chr2', 72910000, 72920000))	9860000.0	100000000	OTX1	EMX1
914	('chr6', 27260000, 27300000)	('chr6', 99570000, 99630000)	chr6	27260000	27300000	chr6	99570000	99630000	(('chr6', 27260000, 27300000), ('chr6', 99570000, 99630000))	72320000.0	2400000000	AL021808.1	CCNC,PRDM13,AL137784.2,AL137784.1,AL137784.3
915	('chr4', 41860000, 41890000)	('chr4', 80260000, 80270000)	chr4	41860000	41890000	chr4	80260000	80270000	(('chr4', 41860000, 41890000), ('chr4', 80260000, 80270000))	38390000.0	300000000	LINC00682,AC108210.1	FGF5
916	('chr2', 66575000, 66585000)	('chr2', 118218000, 118228000)	chr2	66575000	66585000	chr2	118218000	118228000	(('chr2', 66575000, 66585000), ('chr2', 118218000, 118228000))	51643000.0	100000000	MEIS1,LINC01798	THORLNC
917	('chr7', 122290000, 122320000)	('chr7', 156990000, 157040000)	chr7	122290000	122320000	chr7	156990000	157040000	(('chr7', 122290000, 122320000), ('chr7', 156990000, 157040000))	34710000.0	1500000000	FEZF1,FEZF1-AS1	MNX1,MNX1-AS1
918	('chr3', 62350000, 62380000)	('chr3', 147360000, 147420000)	chr3	62350000	62380000	chr3	147360000	147420000	(('chr3', 62350000, 62380000), ('chr3', 147360000, 147420000))	85025000.0	1800000000	FEZF2	ZIC1,ZIC4,ZIC4-AS1
919	('chr5', 3560000, 3610000)	('chr5', 123080000, 123110000)	chr5	3560000	3610000	chr5	123080000	123110000	(('chr5', 3560000, 3610000), ('chr5', 123080000, 123110000))	119510000.0	1500000000	IRX1	PRDM6,AC106786.1
920	('chr6', 10370000, 10420000)	('chr6', 133830000, 133900000)	chr6	10370000	10420000	chr6	133830000	133900000	(('chr6', 10370000, 10420000), ('chr6', 133830000, 133900000))	123470000.0	3500000000	TFAP2A,TFAP2A-AS1,TFAP2A-AS2	TARID,LINC01312,TCF21
921	('chr2', 63050000, 63060000)	('chr2', 222250000, 222318000)	chr2	63050000	63060000	chr2	222250000	222318000	(('chr2', 63050000, 63060000), ('chr2', 222250000, 222318000))	159229000.0	680000000	OTX1	PAX3,CCDC140
922	('chr2', 118830000, 118840000)	('chr2', 236155000, 236185000)	chr2	118830000	118840000	chr2	236155000	236185000	(('chr2', 118830000, 118840000), ('chr2', 236155000, 236185000))	117335000.0	300000000	EN1,LINC01956	GBX2,AC019068.1
923	('chr2', 70880000, 70890000)	('chr2', 206250000, 206285000)	chr2	70880000	70890000	chr2	206250000	206285000	(('chr2', 70880000, 70890000), ('chr2', 206250000, 206285000))	135382500.0	350000000	VAX2,LINC01143,RF02272	ZDBF2,HMGN1P6
924	('chr18', 22155000, 22175000)	('chr18', 59890000, 59900000)	chr18	22155000	22175000	chr18	59890000	59900000	(('chr18', 22155000, 22175000), ('chr18', 59890000, 59900000))	37730000.0	200000000	GATA6,GATA6-AS1	NOXA
925	('chr1', 47180000, 47250000)	('chr1', 50415000, 50430000)	chr1	47180000	47250000	chr1	50415000	50430000	(('chr1', 47180000, 47250000), ('chr1', 50415000, 50430000))	3207500.0	1050000000	TAL1,AL135960.1	DMRTA2,AL049637.2
926	('chr1', 47710000, 47720000)	('chr1', 90710000, 90735000)	chr1	47710000	47720000	chr1	90710000	90735000	(('chr1', 47710000, 47720000), ('chr1', 90710000, 90735000))	43007500.0	250000000	-	BARHL2
927	('chr20', 21500000, 21525000)	('chr20', 38710000, 38730000)	chr20	21500000	21525000	chr20	38710000	38730000	(('chr20', 21500000, 21525000), ('chr20', 38710000, 38730000))	17207500.0	500000000	NKX2-2,NKX2-2-AS1	SLC32A1
928	('chr2', 156315000, 156345000)	('chr2', 236155000, 236185000)	chr2	156315000	156345000	chr2	236155000	236185000	(('chr2', 156315000, 156345000), ('chr2', 236155000, 236185000))	79840000.0	900000000	NR4A2,AC074099.1	GBX2,AC019068.1
929	('chr4', 54080000, 54120000)	('chr4', 93820000, 93830000)	chr4	54080000	54120000	chr4	93820000	93830000	(('chr4', 54080000, 54120000), ('chr4', 93820000, 93830000))	39725000.0	400000000	GSX2,MORF4L2P1,AC058822.1	ATOH1
930	('chr9', 21960000, 22010000)	('chr9', 122190000, 122230000)	chr9	21960000	22010000	chr9	122190000	122230000	(('chr9', 21960000, 22010000), ('chr9', 122190000, 122230000))	100225000.0	2000000000	CDKN2A,CDKN2A-DT,AL359922.1	LHX6
931	('chr2', 19350000, 19360000)	('chr2', 72910000, 72920000)	chr2	19350000	19360000	chr2	72910000	72920000	(('chr2', 19350000, 19360000), ('chr2', 72910000, 72920000))	53560000.0	100000000	OSR1	EMX1
932	('chr16', 51130000, 51180000)	('chr16', 86490000, 86520000)	chr16	51130000	51180000	chr16	86490000	86520000	(('chr16', 51130000, 51180000), ('chr16', 86490000, 86520000))	35350000.0	1500000000	SALL1,AC009166.1	FENDRR,FOXF1
933	('chr6', 1360000, 1410000)	('chr6', 10370000, 10420000)	chr6	1360000	1410000	chr6	10370000	10420000	(('chr6', 1360000, 1410000), ('chr6', 10370000, 10420000))	9010000.0	2500000000	FOXF2	TFAP2A,TFAP2A-AS1,TFAP2A-AS2
934	('chr2', 45000000, 45010000)	('chr2', 181680000, 181690000)	chr2	45000000	45010000	chr2	181680000	181690000	(('chr2', 45000000, 45010000), ('chr2', 181680000, 181690000))	136680000.0	100000000	SIX2	CERKL,NEUROD1
935	('chr2', 113270000, 113280000)	('chr2', 181680000, 181690000)	chr2	113270000	113280000	chr2	181680000	181690000	(('chr2', 113270000, 113280000), ('chr2', 181680000, 181690000))	68410000.0	100000000	PAX8	CERKL,NEUROD1
936	('chr2', 63050000, 63060000)	('chr2', 218990000, 219000000)	chr2	63050000	63060000	chr2	218990000	219000000	(('chr2', 63050000, 63060000), ('chr2', 218990000, 219000000))	155940000.0	100000000	OTX1	CRYBA2
937	('chr5', 2725000, 2790000)	('chr5', 73430000, 73460000)	chr5	2725000	2790000	chr5	73430000	73460000	(('chr5', 2725000, 2790000), ('chr5', 73430000, 73460000))	70687500.0	1950000000	IRX2	FOXD1,FOXD1-AS1,LINC01385
938	('chr4', 80260000, 80270000)	('chr4', 173490000, 173550000)	chr4	80260000	80270000	chr4	173490000	173550000	(('chr4', 80260000, 80270000), ('chr4', 173490000, 173550000))	93255000.0	600000000	FGF5	HAND2,HAND2-AS1,SCRG1
939	('chr4', 80185000, 80220000)	('chr4', 112500000, 112530000)	chr4	80185000	80220000	chr4	112500000	112530000	(('chr4', 80185000, 80220000), ('chr4', 112500000, 112530000))	32312500.0	1050000000	PRDM8	NEUROG2,AC023886.1
940	('chr4', 4850000, 4875000)	('chr4', 41730000, 41760000)	chr4	4850000	4875000	chr4	41730000	41760000	(('chr4', 4850000, 4875000), ('chr4', 41730000, 41760000))	36882500.0	750000000	MSX1,LINC01396	PHOX2B,AC105389.1
941	('chr7', 1210000, 1260000)	('chr7', 27080000, 27260000)	chr7	1210000	1260000	chr7	27080000	27260000	(('chr7', 1210000, 1260000), ('chr7', 27080000, 27260000))	25935000.0	9000000000	UNCX	HOXA1,HOXA2,HOXA3,HOXA4,HOXA5,HOXA6,HOXA7,HOXA9,HOXA10,HOXA11,HOXA13,RF01975,HOTAIRM1,RF01976,RF01979,HOXA-AS2,HOXA-AS3,AC004080.6,AC004080.5,AC004080.4,HOXA10-AS,AC004080.3,HOXA11-AS,RF02142,AC004080.2,RF02040,HOTTIP,RF02043
943	('chr3', 27710000, 27720000)	('chr3', 128480000, 128490000)	chr3	27710000	27720000	chr3	128480000	128490000	(('chr3', 27710000, 27720000), ('chr3', 128480000, 128490000))	100770000.0	100000000	EOMES,LINC02084	GATA2,GATA2-AS1
944	('chr4', 84475000, 84515000)	('chr4', 111620000, 111630000)	chr4	84475000	84515000	chr4	111620000	111630000	(('chr4', 84475000, 84515000), ('chr4', 111620000, 111630000))	27130000.0	400000000	NKX6-1	AC083795.2
945	('chr5', 52780000, 52790000)	('chr5', 146310000, 146365000)	chr5	52780000	52790000	chr5	146310000	146365000	(('chr5', 52780000, 52790000), ('chr5', 146310000, 146365000))	93552500.0	550000000	PELO	POU4F3,AC091959.3,AC011396.2
946	('chr8', 11670000, 11730000)	('chr8', 96130000, 96170000)	chr8	11670000	11730000	chr8	96130000	96170000	(('chr8', 11670000, 11730000), ('chr8', 96130000, 96170000))	84450000.0	2400000000	GATA4	GDF6
947	('chr9', 93940000, 93970000)	('chr9', 122190000, 122230000)	chr9	93940000	93970000	chr9	122190000	122230000	(('chr9', 93940000, 93970000), ('chr9', 122190000, 122230000))	28255000.0	1200000000	BARX1,BARX1-DT	LHX6
948	('chr2', 118830000, 118840000)	('chr2', 174320000, 174350000)	chr2	118830000	118840000	chr2	174320000	174350000	(('chr2', 118830000, 118840000), ('chr2', 174320000, 174350000))	55500000.0	300000000	EN1,LINC01956	SP9,LINC01305,AC018470.1
949	('chr2', 156315000, 156345000)	('chr2', 174320000, 174350000)	chr2	156315000	156345000	chr2	174320000	174350000	(('chr2', 156315000, 156345000), ('chr2', 174320000, 174350000))	18005000.0	900000000	NR4A2,AC074099.1	SP9,LINC01305,AC018470.1
950	('chr2', 45000000, 45010000)	('chr2', 63050000, 63060000)	chr2	45000000	45010000	chr2	63050000	63060000	(('chr2', 45000000, 45010000), ('chr2', 63050000, 63060000))	18050000.0	100000000	SIX2	OTX1
951	('chr6', 84730000, 84780000)	('chr6', 104920000, 104960000)	chr6	84730000	84780000	chr6	104920000	104960000	(('chr6', 84730000, 84780000), ('chr6', 104920000, 104960000))	20185000.0	2000000000	TBX18	LIN28B,LIN28B-AS1
952	('chr9', 1030000, 1060000)	('chr9', 37010000, 37040000)	chr9	1030000	1060000	chr9	37010000	37040000	(('chr9', 1030000, 1060000), ('chr9', 37010000, 37040000))	35980000.0	900000000	DMRT2	PAX5,AL161781.2
953	('chr13', 27780000, 27820000)	('chr13', 94690000, 94730000)	chr13	27780000	27820000	chr13	94690000	94730000	(('chr13', 27780000, 27820000), ('chr13', 94690000, 94730000))	66910000.0	1600000000	GSX1	SOX21,SOX21-AS1
954	('chr6', 1360000, 1410000)	('chr6', 84730000, 84780000)	chr6	1360000	1410000	chr6	84730000	84780000	(('chr6', 1360000, 1410000), ('chr6', 84730000, 84780000))	83370000.0	2500000000	FOXF2	TBX18
955	('chr1', 75120000, 75140000)	('chr1', 220880000, 220890000)	chr1	75120000	75140000	chr1	220880000	220890000	(('chr1', 75120000, 75140000), ('chr1', 220880000, 220890000))	145755000.0	200000000	LHX8,AC099786.2,AC099786.3	HLX,HLX-AS1
956	('chr5', 146310000, 146365000)	('chr5', 173220000, 173260000)	chr5	146310000	146365000	chr5	173220000	173260000	(('chr5', 146310000, 146365000), ('chr5', 173220000, 173260000))	26902500.0	2200000000	POU4F3,AC091959.3,AC011396.2	NKX2-5
957	('chr13', 27910000, 27990000)	('chr13', 50110000, 50160000)	chr13	27910000	27990000	chr13	50110000	50160000	(('chr13', 27910000, 27990000), ('chr13', 50110000, 50160000))	22185000.0	4000000000	CDX2,PDX1,PLUT,ATP5F1EP2,LINC00543,RN7SL272P	DLEU2
958	('chr2', 5690000, 5700000)	('chr2', 170350000, 170360000)	chr2	5690000	5700000	chr2	170350000	170360000	(('chr2', 5690000, 5700000), ('chr2', 170350000, 170360000))	164660000.0	100000000	SOX11	MYO3B,AC012594.1
959	('chr2', 113270000, 113280000)	('chr2', 199450000, 199480000)	chr2	113270000	113280000	chr2	199450000	199480000	(('chr2', 113270000, 113280000), ('chr2', 199450000, 199480000))	86190000.0	300000000	PAX8	SATB2,SATB2-AS1
960	('chr2', 45000000, 45010000)	('chr2', 199450000, 199480000)	chr2	45000000	45010000	chr2	199450000	199480000	(('chr2', 45000000, 45010000), ('chr2', 199450000, 199480000))	154460000.0	300000000	SIX2	SATB2,SATB2-AS1
961	('chr2', 66430000, 66440000)	('chr2', 236155000, 236185000)	chr2	66430000	66440000	chr2	236155000	236185000	(('chr2', 66430000, 66440000), ('chr2', 236155000, 236185000))	169735000.0	300000000	MEIS1	GBX2,AC019068.1
962	('chr2', 174320000, 174350000)	('chr2', 222250000, 222318000)	chr2	174320000	174350000	chr2	222250000	222318000	(('chr2', 174320000, 174350000), ('chr2', 222250000, 222318000))	47949000.0	2040000000	SP9,LINC01305,AC018470.1	PAX3,CCDC140
963	('chr6', 27500000, 27570000)	('chr6', 117250000, 117280000)	chr6	27500000	27570000	chr6	117250000	117280000	(('chr6', 27500000, 27570000), ('chr6', 117250000, 117280000))	89730000.0	2100000000	HNRNPA1P1,CD83P1	VGLL2
964	('chr16', 54270000, 54300000)	('chr16', 73040000, 73080000)	chr16	54270000	54300000	chr16	73040000	73080000	(('chr16', 54270000, 54300000), ('chr16', 73040000, 73080000))	18775000.0	1200000000	IRX3,AC018553.2	ZFHX3,AC116667.2
965	('chr6', 50700000, 50730000)	('chr6', 84730000, 84780000)	chr6	50700000	50730000	chr6	84730000	84780000	(('chr6', 50700000, 50730000), ('chr6', 84730000, 84780000))	34040000.0	1500000000	TFAP2D	TBX18
966	('chr4', 84475000, 84515000)	('chr4', 173490000, 173550000)	chr4	84475000	84515000	chr4	173490000	173550000	(('chr4', 84475000, 84515000), ('chr4', 173490000, 173550000))	89025000.0	2400000000	NKX6-1	HAND2,HAND2-AS1,SCRG1
967	('chr4', 93820000, 93830000)	('chr4', 110600000, 110660000)	chr4	93820000	93830000	chr4	110600000	110660000	(('chr4', 93820000, 93830000), ('chr4', 110600000, 110660000))	16805000.0	600000000	ATOH1	PITX2,PANCR
968	('chr11', 20580000, 20620000)	('chr11', 129340000, 129380000)	chr11	20580000	20620000	chr11	129340000	129380000	(('chr11', 20580000, 20620000), ('chr11', 129340000, 129380000))	108760000.0	1600000000	SLC6A5	BARX2
969	('chr2', 44930000, 44940000)	('chr2', 174320000, 174350000)	chr2	44930000	44940000	chr2	174320000	174350000	(('chr2', 44930000, 44940000), ('chr2', 174320000, 174350000))	129400000.0	300000000	SIX3,SIX3-AS1,LINC01833	SP9,LINC01305,AC018470.1
970	('chr4', 41860000, 41890000)	('chr4', 108140000, 108180000)	chr4	41860000	41890000	chr4	108140000	108180000	(('chr4', 41860000, 41890000), ('chr4', 108140000, 108180000))	66285000.0	1200000000	LINC00682,AC108210.1	LEF1,LEF1-AS1
971	('chr4', 54220000, 54230000)	('chr4', 80260000, 80270000)	chr4	54220000	54230000	chr4	80260000	80270000	(('chr4', 54220000, 54230000), ('chr4', 80260000, 80270000))	26040000.0	100000000	PDGFRA	FGF5
972	('chr5', 73220000, 73240000)	('chr5', 174700000, 174750000)	chr5	73220000	73240000	chr5	174700000	174750000	(('chr5', 73220000, 73240000), ('chr5', 174700000, 174750000))	101495000.0	1000000000	AC116345.1	MSX2
973	('chr4', 4850000, 4875000)	('chr4', 41860000, 41890000)	chr4	4850000	4875000	chr4	41860000	41890000	(('chr4', 4850000, 4875000), ('chr4', 41860000, 41890000))	37012500.0	750000000	MSX1,LINC01396	LINC00682,AC108210.1
974	('chr7', 19090000, 19150000)	('chr7', 26830000, 26870000)	chr7	19090000	19150000	chr7	26830000	26870000	(('chr7', 19090000, 19150000), ('chr7', 26830000, 26870000))	7730000.0	2400000000	TWIST1,FERD3L,AC003986.1.AC003986.2,AC003986.3	SKAP2
975	('chr5', 2725000, 2790000)	('chr5', 159060000, 159110000)	chr5	2725000	2790000	chr5	159060000	159110000	(('chr5', 2725000, 2790000), ('chr5', 159060000, 159110000))	156327500.0	3250000000	IRX2	EBF1,LINC02202
976	('chr4', 41860000, 41890000)	('chr4', 173490000, 173550000)	chr4	41860000	41890000	chr4	173490000	173550000	(('chr4', 41860000, 41890000), ('chr4', 173490000, 173550000))	131645000.0	1800000000	LINC00682,AC108210.1	HAND2,HAND2-AS1,SCRG1
977	('chr6', 27260000, 27300000)	('chr6', 117250000, 117280000)	chr6	27260000	27300000	chr6	117250000	117280000	(('chr6', 27260000, 27300000), ('chr6', 117250000, 117280000))	89985000.0	1200000000	AL021808.1	VGLL2
978	('chr7', 96980000, 97040000)	('chr7', 129780000, 129790000)	chr7	96980000	97040000	chr7	129780000	129790000	(('chr7', 96980000, 97040000), ('chr7', 129780000, 129790000))	32775000.0	600000000	DLX5,DLX6,DLX6-AS1	MIR96,MIR182,AC084864.1
979	('chr13', 20120000, 20200000)	('chr13', 78570000, 78615000)	chr13	20120000	20200000	chr13	78570000	78615000	(('chr13', 20120000, 20200000), ('chr13', 78570000, 78615000))	58432500.0	3600000000	GJA3,GJB2,GJB6,PPIAP28,LINC00556,AL138688.1	POU4F1,RNF219-AS1
980	('chr6', 50700000, 50730000)	('chr6', 137460000, 137510000)	chr6	50700000	50730000	chr6	137460000	137510000	(('chr6', 50700000, 50730000), ('chr6', 137460000, 137510000))	86770000.0	1500000000	TFAP2D	OLIG3
982	('chr9', 910000, 990000)	('chr9', 93940000, 93970000)	chr9	910000	990000	chr9	93940000	93970000	(('chr9', 910000, 990000), ('chr9', 93940000, 93970000))	93005000.0	2400000000	DMRT3,DMRT1	BARX1,BARX1-DT
983	('chr5', 146310000, 146365000)	('chr5', 173320000, 173330000)	chr5	146310000	146365000	chr5	173320000	173330000	(('chr5', 146310000, 146365000), ('chr5', 173320000, 173330000))	26987500.0	550000000	POU4F3,AC091959.3,AC011396.2	STC2
984	('chr5', 3560000, 3610000)	('chr5', 173220000, 173260000)	chr5	3560000	3610000	chr5	173220000	173260000	(('chr5', 3560000, 3610000), ('chr5', 173220000, 173260000))	169655000.0	2000000000	IRX1	NKX2-5
986	('chr5', 55220000, 55230000)	('chr5', 73220000, 73240000)	chr5	55220000	55230000	chr5	73220000	73240000	(('chr5', 55220000, 55230000), ('chr5', 73220000, 73240000))	18005000.0	200000000	MCIDAS,CCNO,AC026704.1	AC116345.1
987	('chr1', 24930000, 24940000)	('chr1', 165350000, 165360000)	chr1	24930000	24940000	chr1	165350000	165360000	(('chr1', 24930000, 24940000), ('chr1', 165350000, 165360000))	140420000.0	100000000	RUNX3	LMX1A
988	('chr2', 70880000, 70890000)	('chr2', 170810000, 170820000)	chr2	70880000	70890000	chr2	170810000	170820000	(('chr2', 70880000, 70890000), ('chr2', 170810000, 170820000))	99930000.0	100000000	VAX2,LINC01143,RF02272	GAD1,AC007405.2
989	('chr13', 20120000, 20200000)	('chr13', 50110000, 50160000)	chr13	20120000	20200000	chr13	50110000	50160000	(('chr13', 20120000, 20200000), ('chr13', 50110000, 50160000))	29975000.0	4000000000	GJA3,GJB2,GJB6,PPIAP28,LINC00556,AL138688.1	DLEU2
990	('chr5', 77620000, 77660000)	('chr5', 173320000, 173330000)	chr5	77620000	77660000	chr5	173320000	173330000	(('chr5', 77620000, 77660000), ('chr5', 173320000, 173330000))	95685000.0	400000000	OTP,WDR41	STC2
991	('chr6', 117250000, 117280000)	('chr6', 133830000, 133900000)	chr6	117250000	117280000	chr6	133830000	133900000	(('chr6', 117250000, 117280000), ('chr6', 133830000, 133900000))	16600000.0	2100000000	VGLL2	TARID,LINC01312,TCF21
992	('chr7', 35230000, 35260000)	('chr7', 96980000, 97040000)	chr7	35230000	35260000	chr7	96980000	97040000	(('chr7', 35230000, 35260000), ('chr7', 96980000, 97040000))	61765000.0	1800000000	TBX20,AC009531.1	DLX5,DLX6,DLX6-AS1
993	('chr2', 118218000, 118228000)	('chr2', 206250000, 206285000)	chr2	118218000	118228000	chr2	206250000	206285000	(('chr2', 118218000, 118228000), ('chr2', 206250000, 206285000))	88044500.0	350000000	THORLNC	ZDBF2,HMGN1P6
994	('chr2', 19350000, 19360000)	('chr2', 45000000, 45010000)	chr2	19350000	19360000	chr2	45000000	45010000	(('chr2', 19350000, 19360000), ('chr2', 45000000, 45010000))	25650000.0	100000000	OSR1	SIX2
996	('chr2', 19350000, 19360000)	('chr2', 199450000, 199480000)	chr2	19350000	19360000	chr2	199450000	199480000	(('chr2', 19350000, 19360000), ('chr2', 199450000, 199480000))	180110000.0	300000000	OSR1	SATB2,SATB2-AS1
997	('chr1', 63320000, 63330000)	('chr1', 197910000, 197920000)	chr1	63320000	63330000	chr1	197910000	197920000	(('chr1', 63320000, 63330000), ('chr1', 197910000, 197920000))	134590000.0	100000000	FOXD3,FOXD3-AS1,MIR6068	LHX9
998	('chr6', 1590000, 1630000)	('chr6', 149910000, 149990000)	chr6	1590000	1630000	chr6	149910000	149990000	(('chr6', 1590000, 1630000), ('chr6', 149910000, 149990000))	148340000.0	3200000000	FOXC1	ULBP1,AL355497.1
999	('chr6', 10370000, 10420000)	('chr6', 50700000, 50730000)	chr6	10370000	10420000	chr6	50700000	50730000	(('chr6', 10370000, 10420000), ('chr6', 50700000, 50730000))	40320000.0	1500000000	TFAP2A,TFAP2A-AS1,TFAP2A-AS2	TFAP2D
